policy,episode,ret,served,dropped,peak_q,mean_q,churn
ppo 400k absolute,1,225.5799991162259,0.8460392462964775,0.13612515156843236,0.7819843860014243,0.26897862215030555,0.00013003482188865773
ppo 400k absolute,2,276.3982391645225,0.9316980263290897,0.044715709683188866,0.7525440037275392,0.26704822967521175,0.00010067221477516185
ppo 400k absolute,3,258.0776423363237,0.8724278506228046,0.09857557641772553,0.7446835864023678,0.2702319193796625,0.00012670588881236893
ppo 400k absolute,4,249.8769851527135,0.882174744380928,0.0918921165409149,0.7811781586157224,0.29541454026240466,0.00010141502056779896
ppo 400k absolute,5,254.01987152669324,0.8715630386590849,0.08910970867101534,0.8137590244240827,0.32525334736098716,0.00014834650764059947
ppo 400k absolute,6,253.48710909488577,0.8785120909810774,0.08270254762810507,0.7705398867750138,0.2736151738378505,0.00012462130865556223
ppo 400k absolute,7,281.6104729739794,0.9587213787342379,0.023144727365533992,0.7207832418729087,0.23819989374525677,0.00012750553288868146
ppo 400k absolute,8,226.65130547493962,0.8243841322998975,0.14305394690029521,0.8117274230968209,0.3001660601429311,0.00010790847188105662
ppo 400k absolute,9,247.62973130794123,0.867513570886052,0.11103274023865962,0.7591089955991894,0.22031772164744232,9.736851724209359e-05
ppo 4M entropy,0,232.8494333614709,0.8554927597649241,0.13327261823078998,0.6610762849299217,0.349227222935914,0.016106936857238543
ppo 4M entropy,1,233.63113637258962,0.8653398825638006,0.11677022470911369,0.6760723843451529,0.2610153353681225,0.021831571260963384
ppo 4M entropy,2,286.2702494798381,0.9555150519340381,0.02532049376851577,0.6373050970232471,0.2533122193165264,0.015261346043111032
ppo 4M entropy,3,263.41100230122805,0.8853528775390963,0.08784909362300386,0.6575624459497398,0.2734308794660286,0.022765836616565737
ppo 4M entropy,4,254.93658086427286,0.8971984877862785,0.08492107448872308,0.6674526384760753,0.26190650329185144,0.026365734856630643
ppo 4M entropy,5,271.24893750216836,0.9103807966726619,0.05112662639602699,0.7461684601061832,0.31116439116885247,0.020265577271457537
ppo 4M entropy,6,271.93471439662204,0.9185374587664927,0.038349320866223655,0.6858141443938032,0.3056615829681313,0.017742664891420422
ppo 4M entropy,7,286.84358904548236,0.9719559320394756,0.009960261928620782,0.5478967357697772,0.22170505206038613,0.029100314729614538
ppo 4M entropy,8,251.5474148381054,0.8780514439483247,0.08228363507378282,0.7923423389740234,0.3256552871719655,0.013250419606306588
ppo 4M entropy,9,255.02680856370347,0.8846322610468198,0.09588046436398619,0.7434792528223814,0.2198528358544117,0.00813085255266643
