time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/n_updates,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/clip_fraction,train/std,train/learning_rate,rollout/ep_rew_mean,train/clip_range,train/loss,train/explained_variance,train/approx_kl,train/entropy_loss
27,32768,16,1211,75,-0.002156499167904258,0.0075261554215103384,300.0,0.01796875,0.3674620985984802,0.0002,229.89000009000003,0.2,0.0008444595150649548,0.11861485242843628,0.0038640436,-25.910295391082762
28,34816,17,1209,80,-0.002634327858686447,0.009095011395402253,300.0,0.02451171875,0.3675563931465149,0.0002,229.07730200000003,0.2,-0.003401816124096513,0.5175056457519531,0.00167777,-25.907011604309083
30,36864,18,1206,85,-0.003877233690582216,0.007873121090233326,300.0,0.03505859375,0.3675307631492615,0.0002,227.42479096999995,0.2,-0.0038663032464683056,0.5992710590362549,0.0032854746,-25.92000455856323
32,38912,19,1205,90,-0.0031585714779794214,0.0072068967390805485,300.0,0.0220703125,0.36746302247047424,0.0002,227.47730335,0.2,-0.006226366385817528,0.4900399446487427,0.0040889233,-25.907433795928956
34,40960,20,1203,95,-0.0038237775675952434,0.006541998009197414,300.0,0.033203125,0.36746925115585327,0.0002,227.03653701999997,0.2,-0.006716633215546608,0.4910544157028198,0.006147467,-25.901847267150877
35,43008,21,1201,100,-0.002896225219592452,0.006307413359172643,300.0,0.05458984375,0.3675006926059723,0.0002,227.03653701999997,0.2,0.0061823525466024876,0.30929118394851685,0.007050748,-25.90503568649292
37,45056,22,1199,105,-0.0028351553482934833,0.0057004684349521995,300.0,0.04384765625,0.3674947917461395,0.0002,227.98331935000002,0.2,0.011429251171648502,0.3496675491333008,0.006673175,-25.908646965026854
39,47104,23,1198,110,-0.002217382728122175,0.006901574437506497,300.0,0.03515625,0.3674510717391968,0.0002,226.87213296000002,0.2,-0.0017082574777305126,0.33040183782577515,0.003135565,-25.90320587158203
41,49152,24,1197,115,-0.0021633576368913056,0.005133132426999509,300.0,0.0046875,0.3674715757369995,0.0002,227.34703301000002,0.2,-0.0023389109410345554,0.4365032911300659,0.0023323244,-25.900511932373046
42,51200,25,1196,120,-0.003055655537173152,0.006723590171895921,300.0,0.05166015625,0.3675002455711365,0.0002,226.93098037999997,0.2,-0.002349387388676405,0.45553475618362427,0.0055974917,-25.90598669052124
44,53248,26,1196,125,-0.003885664022527635,0.007167542260140181,300.0,0.0431640625,0.36749330163002014,0.0002,227.60765378,0.2,-0.0017989962361752987,0.3781396746635437,0.004462873,-25.90736026763916
46,55296,27,1194,130,-0.002877709618769586,0.0059832603670656685,300.0,0.0576171875,0.36756983399391174,0.0002,229.31759286,0.2,-0.007967768236994743,0.4386047124862671,0.010681919,-25.911828231811523
48,57344,28,1192,135,-0.0013141970965079963,0.004935844242572785,300.0,0.07353515625,0.367584228515625,0.0002,229.31759286,0.2,-0.00032866746187210083,0.47626739740371704,0.008738635,-25.92190170288086
49,59392,29,1189,140,-0.0026160831796005366,0.00874121526721865,300.0,0.03837890625,0.36762353777885437,0.0002,229.23992319999994,0.2,-0.004595890641212463,0.5351043343544006,0.0047641722,-25.92315502166748
51,61440,30,1187,145,-0.003178596030920744,0.00626804621424526,300.0,0.083203125,0.36767223477363586,0.0002,228.46025903,0.2,0.007146827876567841,0.4101927876472473,0.00984773,-25.93259754180908
