time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/policy_gradient_loss,rollout/ep_rew_mean,train/value_loss,train/clip_range,train/approx_kl,train/std,train/learning_rate,train/entropy_loss,train/n_updates,rollout/ep_len_mean,train/loss,train/explained_variance,train/clip_fraction
2048,5561,1,0,,,,,,,,,,,,,
4096,4303,2,0,0.15962929651141167,244.335866625,3.3448277711868286,0.2,1.8474488,0.3678743541240692,0.0002,-25.973756790161133,1,300.0,1.7244611978530884,0.01110851764678955,0.486328125
6144,4054,3,1,0.22729379567317665,248.6893123125,0.11936238221824169,0.2,1.0979578,0.36786940693855286,0.0002,-25.972912788391113,2,300.0,0.48254287242889404,-0.7000937461853027,0.4609375
8192,4031,4,2,0.09438560903072357,242.84634145833334,0.12235941737890244,0.2,0.31325698,0.36786484718322754,0.0002,-25.97210693359375,3,300.0,0.22268152236938477,-1.167785406112671,0.3251953125
10240,4025,5,2,0.1205460550263524,240.580271375,0.0928830411285162,0.2,0.46967998,0.3678607642650604,0.0002,-25.971378326416016,4,300.0,0.26558491587638855,-0.12810862064361572,0.419921875
12288,3981,6,3,0.17717315629124641,239.607557525,0.07825574278831482,0.2,0.9628383,0.36785662174224854,0.0002,-25.97068691253662,5,300.0,0.37518414855003357,-0.48454606533050537,0.4365234375
14336,3965,7,3,0.10625907219946384,239.607557525,0.0857663806527853,0.2,0.70185244,0.3678510785102844,0.0002,-25.969863891601562,6,300.0,0.2360200732946396,-0.3151235580444336,0.4072265625
16384,3976,8,4,0.11425785114988685,237.7854468125,0.08356387913227081,0.2,0.3421059,0.36784228682518005,0.0002,-25.968655586242676,7,300.0,0.2541623115539551,-1.0381646156311035,0.40234375
18432,3956,9,4,0.13679951801896095,236.87272439285715,0.0629428829997778,0.2,0.41861862,0.3678392469882965,0.0002,-25.96766185760498,8,300.0,0.29150864481925964,-0.5675653219223022,0.43359375
20480,3941,10,5,0.09054622240364552,234.30208298437498,0.06236995942890644,0.2,0.36201125,0.36783748865127563,0.0002,-25.967252731323242,9,300.0,0.21248167753219604,-0.6815004348754883,0.41015625
22528,3957,11,5,0.13703127577900887,233.89558398611112,0.06497909128665924,0.2,1.2055169,0.36783716082572937,0.0002,-25.967071533203125,10,300.0,0.29784202575683594,-0.6301285028457642,0.4453125
24576,3942,12,6,0.2806781188119203,231.9464397875,0.04777910187840462,0.2,1.3443257,0.3678339123725891,0.0002,-25.966771125793457,11,300.0,0.5861980319023132,-0.27642643451690674,0.4716796875
26624,3929,13,6,0.14456480462104082,231.44622351136366,0.05963108502328396,0.2,0.66199553,0.3678314983844757,0.0002,-25.96629810333252,12,300.0,0.319278359413147,-0.4731464385986328,0.4482421875
28672,3900,14,7,0.14987740945070982,231.44622351136366,0.054631778970360756,0.2,0.7079349,0.36783045530319214,0.0002,-25.966005325317383,13,300.0,0.3269278407096863,-0.3665522336959839,0.4326171875
30720,3884,15,7,0.2664199769496918,232.7689596458334,0.046192556619644165,0.2,0.8672765,0.3678286075592041,0.0002,-25.96575927734375,14,300.0,0.5520097017288208,-0.8277961015701294,0.462890625
32768,3869,16,8,0.17965177143923938,232.85255505,0.03401963599026203,0.2,1.6318986,0.36782658100128174,0.0002,-25.965432167053223,15,300.0,0.37593498826026917,-0.6781049966812134,0.4814453125
34816,3869,17,8,0.16051324317231774,232.03354590000004,0.055314287543296814,0.2,1.3198104,0.36782464385032654,0.0002,-25.965096473693848,16,300.0,0.34839561581611633,-0.470156192779541,0.478515625
36864,3884,18,9,0.16538218269124627,230.42583901999998,0.039504487067461014,0.2,1.3887722,0.36782339215278625,0.0002,-25.964826583862305,17,300.0,0.3508603870868683,-0.46989381313323975,0.48046875
38912,3882,19,10,0.39217931777238846,230.43062783000002,0.04792623408138752,0.2,1.774893,0.36782383918762207,0.0002,-25.964755058288574,18,300.0,0.8105049729347229,-1.2722504138946533,0.486328125
40960,3877,20,10,0.18900011107325554,230.34709074999995,0.049672627821564674,0.2,0.9813092,0.367825448513031,0.0002,-25.964924812316895,19,300.0,0.40641218423843384,-0.7683600187301636,0.4736328125
