time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/loss,train/clip_range,train/n_updates,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/value_loss,train/std,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/explained_variance
114688,56,101,1132,-0.005576992407441139,0.2,275,224.87377874999999,-25.86036911010742,0.05146484375,0.00931564848870039,0.36719104647636414,300.0,0.0071671177,-0.005128974094986916,0.0002,0.5742400884628296
116736,57,103,1131,-0.004325557965785265,0.2,280,224.58519340999993,-25.85140151977539,0.03251953125,0.009229182777926326,0.36719653010368347,300.0,0.004197653,-0.0045586380176246164,0.0002,0.5982428789138794
118784,58,104,1131,-0.0009833993390202522,0.2,285,224.37300306999995,-25.857569694519043,0.0369140625,0.007763307122513652,0.36722469329833984,300.0,0.0061928644,-0.002864745049737394,0.0002,0.5502136945724487
120832,59,106,1130,-0.0010846061632037163,0.2,290,224.84292223999998,-25.856928062438964,0.04443359375,0.007745191967114806,0.36720940470695496,300.0,0.0040406315,-0.002799944719299674,0.0002,0.5182799100875854
122880,60,108,1128,-0.00172766437754035,0.2,295,224.52171246,-25.86099967956543,0.01962890625,0.007959528174251319,0.3672946095466614,300.0,0.0038426407,-0.003015769133344293,0.0002,0.6427847146987915
124928,61,110,1127,-0.0008617425337433815,0.2,300,224.53551176000002,-25.871628093719483,0.0162109375,0.007762483367696404,0.36729177832603455,300.0,0.0032517696,-0.0022883984493091702,0.0002,0.63718581199646
126976,62,112,1125,-0.008472948335111141,0.2,305,224.53551176000002,-25.862036609649657,0.04599609375,0.006472184066660702,0.36719951033592224,300.0,0.008900593,-0.0025355511461384594,0.0002,0.5639617443084717
129024,63,114,1124,-0.0029825596138834953,0.2,310,224.82868984999996,-25.85091152191162,0.10478515625,0.010078431339934468,0.36718669533729553,300.0,0.012144832,-0.0024950060760602355,0.0002,0.5389933586120605
131072,64,116,1123,-0.009733062237501144,0.2,315,225.73681385,-25.853221797943114,0.06171875,0.006623373203910887,0.36719998717308044,300.0,0.009616038,-0.0060007298365235325,0.0002,0.49668818712234497
133120,65,118,1122,-0.003400360466912389,0.2,320,225.13821374,-25.85127773284912,0.0443359375,0.005860410165041685,0.367156982421875,300.0,0.0033851382,-0.0038204830372706054,0.0002,0.48542219400405884
135168,66,120,1120,-0.004937991499900818,0.2,325,225.21562926,-25.84850902557373,0.03798828125,0.008094937773421407,0.3672003448009491,300.0,0.005861869,-0.002658963273279369,0.0002,0.549034595489502
137216,67,122,1118,0.0007207575254142284,0.2,330,225.01320178000006,-25.84688482284546,0.02861328125,0.007029777322895825,0.36706969141960144,300.0,0.0032997113,-0.003959668526658788,0.0002,0.5990754961967468
139264,68,124,1116,-0.003817993914708495,0.2,335,226.42833283999997,-25.81546096801758,0.04345703125,0.005003240494988859,0.3669010400772095,300.0,0.006661146,-0.003849595389328897,0.0002,0.5380716919898987
141312,69,126,1114,-0.007928766310214996,0.2,340,226.42833283999997,-25.796412086486818,0.07509765625,0.00427059605717659,0.36683380603790283,300.0,0.0041967686,-0.0020705907605588435,0.0002,0.25138622522354126
143360,70,128,1113,0.001886937185190618,0.2,345,225.90162215999996,-25.78721685409546,0.02783203125,0.00444599506445229,0.36678382754325867,300.0,0.006017247,-0.003192750352900475,0.0002,0.41766679286956787
145408,71,130,1111,-5.8338744565844536e-05,0.2,350,226.01536467000003,-25.780776691436767,0.0427734375,0.006237130216322839,0.36677274107933044,300.0,0.0054347366,-0.0034577067708596587,0.0002,0.5775869488716125
147456,72,132,1109,0.0047891996800899506,0.2,355,226.76389428000005,-25.782431221008302,0.04189453125,0.0067122738342732195,0.3667856454849243,300.0,0.006907412,-0.003519508778117597,0.0002,0.5852723121643066
149504,73,134,1108,-0.0006527034565806389,0.2,360,226.74287140999996,-25.786930561065674,0.02177734375,0.009083354054018855,0.3668604791164398,300.0,0.0042744963,-0.003600912448018789,0.0002,0.504784345626831
151552,74,137,1105,-0.0037241673562675714,0.2,365,227.39427038999997,-25.79726572036743,0.06552734375,0.004875455237925053,0.3668772280216217,300.0,0.010264657,-0.0017357482807710766,0.0002,0.48941755294799805
153600,75,139,1100,-0.003367495257407427,0.2,370,227.09615999,-25.80361032485962,0.03232421875,0.004896487225778401,0.3669871687889099,300.0,0.004594864,-0.002593958214856684,0.0002,0.6005550622940063
155648,76,141,1100,-0.007978815585374832,0.2,375,227.09615999,-25.821183300018312,0.04052734375,0.0077528697438538074,0.36702606081962585,300.0,0.0072744098,-0.0051294873701408505,0.0002,0.5160911679267883
157696,77,143,1101,-0.007603962905704975,0.2,380,228.22167670000002,-25.81219892501831,0.022265625,0.0068389166379347445,0.366891086101532,300.0,0.0030940066,-0.003236386785283685,0.0002,0.5095622539520264
159744,78,145,1099,-0.006115573458373547,0.2,385,228.41521973,-25.796884727478027,0.0455078125,0.007208880665712058,0.3668866455554962,300.0,0.0054514236,-0.004782796883955598,0.0002,0.6321685314178467
161792,79,146,1100,0.000413606408983469,0.2,390,227.57202823000003,-25.80439567565918,0.04833984375,0.006315497634932399,0.3669644892215729,300.0,0.0054780664,-0.0028480860753916206,0.0002,0.6579254865646362
