time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/policy_gradient_loss,train/value_loss,rollout/ep_len_mean,train/std,train/entropy_loss,rollout/ep_rew_mean,train/approx_kl,train/loss,train/explained_variance,train/clip_range,train/n_updates,train/clip_fraction,train/learning_rate
11,5,22528,3959,0.1376920798793435,0.06578163057565689,300.0,0.3678380846977234,-25.967228889465332,235.23042081944448,1.2149203,0.29928475618362427,-0.6087429523468018,0.2,10,0.447265625,0.0002
12,6,24576,3942,0.28305725334212184,0.048093972727656364,300.0,0.3678349256515503,-25.96693706512451,233.2961165625,1.3543612,0.5910153985023499,-0.25926053524017334,0.2,11,0.470703125,0.0002
13,6,26624,3928,0.14442356396466494,0.059965407475829124,300.0,0.36783260107040405,-25.96647548675537,232.80086255681817,0.672264,0.318999707698822,-0.45028114318847656,0.2,12,0.4521484375,0.0002
14,7,28672,3902,0.15002431999891996,0.05502857826650143,300.0,0.36783158779144287,-25.966190338134766,232.80086255681817,0.72637093,0.3272239565849304,-0.3502300977706909,0.2,13,0.43359375,0.0002
15,7,30720,3884,0.2661157827824354,0.04645601287484169,300.0,0.367829829454422,-25.965957641601562,234.1131056875,0.88657594,0.5514519810676575,-0.7819719314575195,0.2,14,0.4619140625,0.0002
16,8,32768,3868,0.17940396745689213,0.03433619625866413,300.0,0.36782780289649963,-25.965639114379883,234.18506693,1.6684463,0.37553539872169495,-0.6416714191436768,0.2,15,0.4814453125,0.0002
17,8,34816,3869,0.1614058529958129,0.055861299857497215,300.0,0.3678258955478668,-25.965307235717773,233.36460778,1.3695304,0.3503892123699188,-0.44915783405303955,0.2,16,0.482421875,0.0002
18,9,36864,3885,0.16569474432617426,0.039861591532826424,300.0,0.3678247332572937,-25.965045928955078,231.75321605000002,1.4277108,0.35158514976501465,-0.45344114303588867,0.2,17,0.4853515625,0.0002
19,10,38912,3883,0.3893624525517225,0.048368318006396294,300.0,0.3678252398967743,-25.964985847473145,231.72936863000007,1.8103288,0.805091381072998,-1.239553689956665,0.2,18,0.48828125,0.0002
20,10,40960,3876,0.19043418625369668,0.05012256279587746,300.0,0.3678268790245056,-25.965168952941895,231.60332652,1.0115141,0.40949851274490356,-0.7399135828018188,0.2,19,0.474609375,0.0002
21,11,43008,3889,0.15540702966973186,0.034534869715571404,300.0,0.3678295314311981,-25.96553325653076,231.60332652,0.692796,0.3282060921192169,-0.6425280570983887,0.2,20,0.4404296875,0.0002
22,11,45056,3882,0.16770009510219097,0.03773507475852966,300.0,0.3678312599658966,-25.965896606445312,232.56638278,0.7625966,0.3557678461074829,-1.1027140617370605,0.2,21,0.44921875,0.0002
23,12,47104,3879,0.19143863953649998,0.046038344502449036,300.0,0.3678329288959503,-25.96617603302002,231.51493297999997,1.2903378,0.40569332242012024,-0.8788626194000244,0.2,22,0.46875,0.0002
24,12,49152,3870,0.13447294849902391,0.038385070860385895,300.0,0.36783164739608765,-25.966206550598145,232.19497952999998,0.37902254,0.28714191913604736,-0.3729459047317505,0.2,23,0.4130859375,0.0002
25,13,51200,3875,0.07995765749365091,0.03641957603394985,300.0,0.36783111095428467,-25.96605110168457,231.82328786,0.23180184,0.1789107471704483,-0.3807898759841919,0.2,24,0.32421875,0.0002
26,13,53248,3872,0.11220857687294483,0.03787163086235523,300.0,0.36783069372177124,-25.965972900390625,232.59321961999996,0.26445097,0.24351787567138672,-0.5097959041595459,0.2,25,0.3857421875,0.0002
27,14,55296,3873,0.05903583578765392,0.02976268343627453,300.0,0.3678315579891205,-25.96601676940918,234.39273798000002,0.13205418,0.1315881609916687,-0.34892821311950684,0.2,26,0.251953125,0.0002
28,14,57344,3883,0.16879214439541101,0.037712639197707176,300.0,0.36783021688461304,-25.965972900390625,234.39273798000002,0.4031009,0.3548597991466522,-0.8160192966461182,0.2,27,0.435546875,0.0002
29,15,59392,3876,0.180349406786263,0.03185894712805748,300.0,0.3678283393383026,-25.9656982421875,234.53601422999992,0.8736123,0.37569209933280945,-0.40544259548187256,0.2,28,0.4619140625,0.0002
30,15,61440,3867,0.10297824302688241,0.0315278135240078,300.0,0.3678273558616638,-25.96545696258545,233.68180161,0.27276027,0.2215329110622406,-0.0469585657119751,0.2,29,0.4384765625,0.0002
31,16,63488,3872,0.17918089777231216,0.03592103719711304,300.0,0.3678264617919922,-25.965291023254395,232.76147934999997,0.66475195,0.3762507438659668,-0.6658514738082886,0.2,30,0.4599609375,0.0002
32,16,65536,3863,0.06480573490262032,0.0316346175968647,300.0,0.36782610416412354,-25.965181350708008,234.08691736999998,0.14282978,0.14487631618976593,-0.29036378860473633,0.2,31,0.3896484375,0.0002
33,17,67584,3857,0.1620219200849533,0.034751756116747856,300.0,0.36782577633857727,-25.96513080596924,235.58764402000006,0.43791473,0.34136345982551575,-0.04165005683898926,0.2,32,0.443359375,0.0002
34,18,69632,3858,0.04474477702751756,0.02766677550971508,300.0,0.3678257465362549,-25.965105056762695,236.02025702,0.08073492,0.10121279954910278,-0.1530388593673706,0.2,33,0.3115234375,0.0002
35,18,71680,3859,0.11497896630316973,0.03863180987536907,300.0,0.3678249418735504,-25.965031623840332,236.02025702,0.19453225,0.24847127497196198,-0.9009424448013306,0.2,34,0.2998046875,0.0002
36,19,73728,3855,0.05606346530839801,0.03188774921000004,300.0,0.3678252696990967,-25.96498394012451,236.1606639,0.16594961,0.1260337084531784,-0.3971562385559082,0.2,35,0.3583984375,0.0002
37,19,75776,3855,0.07832525996491313,0.024334896355867386,300.0,0.36782702803611755,-25.965153694152832,235.58447692000001,0.26145384,0.16666583716869354,0.17142075300216675,0.2,36,0.423828125,0.0002
38,20,77824,3862,0.12943231128156185,0.025924362242221832,300.0,0.3678286671638489,-25.96544361114502,235.41392714999998,0.3250467,0.2706463634967804,-0.543647289276123,0.2,37,0.416015625,0.0002
39,20,79872,3857,0.08106716722249985,0.03008811641484499,300.0,0.3678305447101593,-25.96573829650879,236.12034537,0.21259733,0.17491522431373596,-0.3222607374191284,0.2,38,0.388671875,0.0002
40,21,81920,3851,0.07691728137433529,0.023668456822633743,300.0,0.36783188581466675,-25.966010093688965,235.69578853000002,0.28628817,0.16433382034301758,0.08708274364471436,0.2,39,0.3818359375,0.0002
41,21,83968,3859,0.11497298162430525,0.023728995583951473,300.0,0.36783313751220703,-25.966232299804688,235.69578853000002,0.35892186,0.23969988524913788,-0.5239580869674683,0.2,40,0.3974609375,0.0002
42,22,86016,3856,0.09285094914957881,0.026946844533085823,300.0,0.36783382296562195,-25.966395378112793,235.81070807999996,0.17049518,0.19864878058433533,-0.9353461265563965,0.2,41,0.34375,0.0002
43,22,88064,3851,0.10375959146767855,0.026373825035989285,300.0,0.3678349554538727,-25.966548919677734,235.80475746,0.24692076,0.218550905585289,-0.4172593355178833,0.2,42,0.4033203125,0.0002
44,23,90112,3855,0.0899339634925127,0.02951652556657791,300.0,0.367836058139801,-25.966732025146484,234.95331851999995,0.1293475,0.19317017495632172,-0.8390622138977051,0.2,43,0.306640625,0.0002
45,23,92160,3856,0.05999909620732069,0.023151551373302937,300.0,0.36783701181411743,-25.96690082550049,234.26590784000004,0.14470676,0.13138560950756073,0.10828536748886108,0.2,44,0.3798828125,0.0002
46,24,94208,3852,0.04941979609429836,0.030306171625852585,300.0,0.36783748865127563,-25.967015266418457,233.44962107,0.08699411,0.11146464198827744,-0.10522043704986572,0.2,45,0.2578125,0.0002
47,24,96256,3852,0.02307850937359035,0.01803336525335908,300.0,0.3678379952907562,-25.96709442138672,232.88498972000002,0.047012165,0.053953349590301514,0.03411167860031128,0.2,46,0.2412109375,0.0002
48,25,98304,3855,0.020413721445947886,0.024646766483783722,300.0,0.36783847212791443,-25.967183113098145,232.88498972000002,0.04047274,0.05256830155849457,-0.05954575538635254,0.2,47,0.2314453125,0.0002
49,26,100352,3838,0.02806944369028012,0.02829044498503208,300.0,0.36783868074417114,-25.967235565185547,231.9546037,0.050938617,0.09639737755060196,-0.08944988250732422,0.2,48,0.296875,0.0002
50,26,102400,3833,0.04655510559678078,0.024685989134013653,300.0,0.36783909797668457,-25.967289924621582,231.6971125,0.078787446,0.10497691482305527,-0.1823946237564087,0.2,49,0.2802734375,0.0002
51,27,104448,3839,0.07460447959601879,0.022203069180250168,300.0,0.3678388297557831,-25.96730327606201,232.43654509,0.15004438,0.15956120193004608,-0.16781675815582275,0.2,50,0.3701171875,0.0002
52,27,106496,3837,0.1477526812814176,0.027608324773609638,300.0,0.36783865094184875,-25.967265129089355,231.53369364999998,0.56862557,0.30830058455467224,0.06277531385421753,0.2,51,0.453125,0.0002
53,28,108544,3836,0.0861531407572329,0.02860252745449543,300.0,0.3678392469882965,-25.967297554016113,233.53418248000003,0.19976096,0.18685652315616608,0.09059369564056396,0.2,52,0.361328125,0.0002
54,28,110592,3841,0.0844862861558795,0.02520136907696724,300.0,0.3678397536277771,-25.967392921447754,233.47168565000004,0.19110703,0.18113979697227478,-0.13717031478881836,0.2,53,0.3408203125,0.0002
55,29,112640,3840,0.05027769459411502,0.02915492095053196,300.0,0.3678398132324219,-25.96743869781494,233.47168565000004,0.081854165,0.11364594101905823,0.2970539331436157,0.2,54,0.2666015625,0.0002
56,29,114688,3840,0.11499465396627784,0.031118659302592278,300.0,0.3678405284881592,-25.96749973297119,233.84409259000003,0.2873047,0.24439358711242676,0.18569260835647583,0.2,55,0.3896484375,0.0002
57,30,116736,3842,0.14545144513249397,0.03231732361018658,300.0,0.3678404986858368,-25.967559814453125,233.43061771999993,0.36659554,0.3068431317806244,0.019834578037261963,0.2,56,0.4375,0.0002
58,30,118784,3845,0.17818941175937653,0.02829060610383749,300.0,0.36784058809280396,-25.96756076812744,233.03789457,0.58492875,0.3690738081932068,-0.07768237590789795,0.2,57,0.451171875,0.0002
59,31,120832,3844,0.13600466889329255,0.025321735069155693,300.0,0.3678413927555084,-25.96763324737549,233.28597444999997,0.45535505,0.2833891212940216,0.12173891067504883,0.2,58,0.4501953125,0.0002
60,31,122880,3845,0.27598475851118565,0.0249644685536623,300.0,0.3678421676158905,-25.96777057647705,232.84218837,0.83109105,0.5640474557876587,-0.04680502414703369,0.2,59,0.462890625,0.0002
61,32,124928,3849,0.22822853177785873,0.01783337350934744,300.0,0.36784178018569946,-25.967803955078125,232.67066956000002,1.132848,0.46435391902923584,-0.06049489974975586,0.2,60,0.4833984375,0.0002
62,33,126976,3847,0.21727200783789158,0.021810215897858143,300.0,0.36784160137176514,-25.967758178710938,232.67066956000002,1.1532648,0.4444448947906494,0.1068468689918518,0.2,61,0.482421875,0.0002
63,33,129024,3847,0.14468470681458712,0.029070229269564152,300.0,0.3678411543369293,-25.96770191192627,232.71199748000004,0.54374003,0.3036632537841797,0.05798542499542236,0.2,62,0.4638671875,0.0002
64,34,131072,3851,0.1137020536698401,0.023019601590931416,300.0,0.36784154176712036,-25.96769142150879,233.41421351,0.4967488,0.238615483045578,-0.07115781307220459,0.2,63,0.4365234375,0.0002
65,34,133120,3850,0.2507168771699071,0.015483473427593708,300.0,0.3678432106971741,-25.967859268188477,232.42204519000003,1.074113,0.509061336517334,0.05217242240905762,0.2,64,0.4609375,0.0002
66,35,135168,3849,0.190490810200572,0.019560853019356728,300.0,0.3678440451622009,-25.96807098388672,232.31955686999993,0.74889857,0.3901730179786682,0.005937695503234863,0.2,65,0.4404296875,0.0002
67,35,137216,3849,0.15736952889710665,0.01798147801309824,300.0,0.36784446239471436,-25.968177795410156,231.97782736999997,0.9029139,0.32332971692085266,0.014899373054504395,0.2,66,0.4599609375,0.0002
68,36,139264,3845,0.2269609598442912,0.014392407611012459,300.0,0.3678458333015442,-25.968327522277832,233.22843638000003,1.8863372,0.4604351818561554,-0.04865884780883789,0.2,67,0.48046875,0.0002
69,36,141312,3843,0.14608372387010604,0.019566436298191547,300.0,0.3678487241268158,-25.968690872192383,233.22843638000003,0.8565898,0.30028852820396423,-0.6664010286331177,0.2,68,0.4462890625,0.0002
70,37,143360,3844,0.11519138794392347,0.017412505112588406,300.0,0.3678511381149292,-25.969136238098145,232.46848821000003,0.5994544,0.2382451742887497,-0.5348900556564331,0.2,69,0.3681640625,0.0002
71,37,145408,3848,0.05493168905377388,0.02318837307393551,300.0,0.3678537905216217,-25.96956157684326,232.36849780999998,0.2727566,0.12047522515058517,-0.1456012725830078,0.2,70,0.384765625,0.0002
72,38,147456,3848,0.11006565019488335,0.02403454575687647,300.0,0.3678571581840515,-25.970067024230957,232.87396556,0.22546269,0.23191581666469574,-0.35689616203308105,0.2,71,0.396484375,0.0002
73,38,149504,3848,0.04470723820850253,0.023229009471833706,300.0,0.3678591549396515,-25.970521926879883,232.81857595999995,0.07194733,0.10100935399532318,-0.24683630466461182,0.2,72,0.3251953125,0.0002
74,39,151552,3852,0.0340863554738462,0.01569797843694687,300.0,0.3678602874279022,-25.970789909362793,233.23840761,0.07020295,0.07629510015249252,-0.19372856616973877,0.2,73,0.3271484375,0.0002
75,39,153600,3851,0.09754601027816534,0.02206610143184662,300.0,0.3678617775440216,-25.971006393432617,232.99199104,0.14489385,0.20572319626808167,-0.3227505683898926,0.2,74,0.376953125,0.0002
76,40,155648,3851,0.04869321919977665,0.02740597352385521,300.0,0.3678617775440216,-25.971128463745117,232.99199104,0.15924242,0.10940700024366379,-0.2177983522415161,0.2,75,0.365234375,0.0002
77,40,157696,3853,0.08365265838801861,0.025702595710754395,300.0,0.3678627908229828,-25.97120952606201,234.12383166000004,0.21507558,0.18139196932315826,-0.2161186933517456,0.2,76,0.375,0.0002
78,41,159744,3855,0.22018720069900155,0.02469187043607235,300.0,0.3678635060787201,-25.97134780883789,234.17891763,0.27367628,0.45232927799224854,0.050939202308654785,0.2,77,0.3330078125,0.0002
79,41,161792,3854,0.1240161219611764,0.029249418526887894,300.0,0.36786389350891113,-25.971436500549316,233.27987560000003,0.6034185,0.2630240321159363,-0.342836856842041,0.2,78,0.443359375,0.0002
80,42,163840,3855,0.04873969126492739,0.03150822035968304,300.0,0.3678635060787201,-25.971435546875,233.62705078,0.22740129,0.11421944200992584,0.042238593101501465,0.2,79,0.341796875,0.0002
81,42,165888,3858,0.08182180859148502,0.02513817325234413,300.0,0.3678629994392395,-25.971362113952637,232.70446635,0.13255759,0.17582304775714874,0.19275397062301636,0.2,80,0.3310546875,0.0002
82,43,167936,3858,0.15472367964684963,0.03353536128997803,300.0,0.3678629994392395,-25.971318244934082,232.70446635,0.3572771,0.3257243037223816,-0.2919955253601074,0.2,81,0.37890625,0.0002
83,44,169984,3858,0.07426131796091795,0.02948804758489132,300.0,0.3678629398345947,-25.971308708190918,232.23444115,0.1149947,0.16191726922988892,-0.33877289295196533,0.2,82,0.330078125,0.0002
84,44,172032,3862,0.017500638496130705,0.03320212662220001,300.0,0.36786383390426636,-25.97137451171875,230.51968594000002,0.025350103,0.04969797655940056,-0.01958775520324707,0.2,83,0.212890625,0.0002
85,45,174080,3854,0.02906548697501421,0.025119568531711895,300.0,0.3678629696369171,-25.971385955810547,230.73287854999998,0.03431682,0.07896648347377777,0.3267943263053894,0.2,84,0.22916666666666666,0.0002
86,45,176128,3851,0.07317640073597431,0.03081241436302662,300.0,0.3678630590438843,-25.971308708190918,229.32662118,0.112324595,0.15966570377349854,0.07082158327102661,0.2,85,0.3095703125,0.0002
87,46,178176,3853,0.06171150878071785,0.026658954098820686,300.0,0.36786213517189026,-25.971237182617188,230.01104717999996,0.060138613,0.13559314608573914,0.2520279288291931,0.2,86,0.2529296875,0.0002
88,46,180224,3850,0.01852758228778839,0.02045133151113987,300.0,0.36786091327667236,-25.971055030822754,229.6256965,0.032516565,0.04505743086338043,0.2548061013221741,0.2,87,0.189453125,0.0002
89,47,182272,3848,0.016444150358438492,0.020275628194212914,300.0,0.36786094307899475,-25.970948219299316,229.6256965,0.016233208,0.041377004235982895,0.001784980297088623,0.2,88,0.1787109375,0.0002
90,47,184320,3847,0.06476682983338833,0.01938562374562025,300.0,0.36785995960235596,-25.97086811065674,229.58949398000001,0.097622216,0.13905104994773865,-0.03384661674499512,0.2,89,0.3544921875,0.0002
91,48,186368,3846,0.03206801600754261,0.015570236835628748,300.0,0.3678610026836395,-25.970870971679688,229.10377798,0.095707156,0.07159064710140228,0.3515391945838928,0.2,90,0.34765625,0.0002
92,49,188416,3841,0.10636825487017632,0.016565879806876183,300.0,0.3678611218929291,-25.970966339111328,229.79983249,0.2593014,0.2206520140171051,0.14391756057739258,0.2,91,0.4208984375,0.0002
93,49,190464,3840,0.0677736047655344,0.01957085821777582,300.0,0.36786162853240967,-25.971022605895996,230.27762755000003,0.116660744,0.14409694075584412,0.20748233795166016,0.2,92,0.314453125,0.0002
94,50,192512,3841,0.07313725491985679,0.021431147120893,300.0,0.36786046624183655,-25.970962524414062,229.60712084000002,0.12084274,0.1560048758983612,0.32291316986083984,0.2,93,0.3076171875,0.0002
95,50,194560,3838,0.057171039283275604,0.02038282435387373,300.0,0.3678613007068634,-25.97092914581299,231.14669947,0.11427073,0.12355469167232513,0.19825631380081177,0.2,94,0.33984375,0.0002
96,51,196608,3836,0.06057392619550228,0.03001345880329609,300.0,0.3678625822067261,-25.971107482910156,231.14669947,0.12540503,0.13569208979606628,0.4266893267631531,0.2,95,0.3349609375,0.0002
97,51,198656,3838,0.03737083380110562,0.02972671389579773,300.0,0.36786213517189026,-25.971176147460938,230.00057761000005,0.06258093,0.09022948145866394,0.3292619585990906,0.2,96,0.314453125,0.0002
98,52,200704,3835,0.11490726843476295,0.02521446719765663,300.0,0.3678620755672455,-25.9711332321167,231.49274784000002,0.15954806,0.24207237362861633,0.1292242407798767,0.2,97,0.283203125,0.0002
99,52,202752,3833,0.06792041659355164,0.02255372516810894,300.0,0.36786162853240967,-25.971084594726562,231.68586142,0.12913907,0.14666613936424255,-0.16626858711242676,0.2,98,0.2900390625,0.0002
100,53,204800,3833,0.08248022757470608,0.03127804026007652,300.0,0.3678615987300873,-25.971038818359375,232.11007447999998,0.12185113,0.17983001470565796,0.23424923419952393,0.2,99,0.341796875,0.0002
101,53,206848,3832,0.05906033515930176,0.033260418102145195,300.0,0.36786186695098877,-25.971056938171387,232.42218929999996,0.16853854,0.13421809673309326,0.3179627060890198,0.2,100,0.3134765625,0.0002
102,54,208896,3829,0.13187481416389346,0.03320674318820238,300.0,0.36786115169525146,-25.97101593017578,231.11577242000004,0.31808865,0.2792511582374573,0.0545693039894104,0.2,101,0.3408203125,0.0002
103,55,210944,3829,0.03930145129561424,0.03432620130479336,300.0,0.36786022782325745,-25.97087574005127,231.11577242000004,0.13675568,0.0951051115989685,0.2984594702720642,0.2,102,0.33203125,0.0002
104,55,212992,3830,0.04110409505665302,0.026275419630110264,300.0,0.36785992980003357,-25.97077465057373,231.80683859999996,0.096006095,0.09492378681898117,0.06972652673721313,0.2,103,0.31640625,0.0002
105,56,215040,3828,0.03888370096683502,0.02394910715520382,300.0,0.3678596019744873,-25.97072410583496,230.72939555000002,0.062292997,0.08875703066587448,0.1436132788658142,0.2,104,0.1708984375,0.0002
106,56,217088,3827,0.03983050864189863,0.025242307223379612,300.0,0.367859423160553,-25.970672607421875,230.54966513,0.03691291,0.09152162820100784,0.07745838165283203,0.2,105,0.255859375,0.0002
107,57,219136,3830,0.10509106144309044,0.028585363179445267,300.0,0.3678586184978485,-25.97058391571045,230.96298787,0.16301337,0.22411799430847168,0.04897373914718628,0.2,106,0.4013671875,0.0002
108,57,221184,3829,0.011219075415283442,0.0234843660145998,300.0,0.3678582012653351,-25.970484733581543,231.07686216000002,0.015398082,0.03393130004405975,-0.09460735321044922,0.2,107,0.1962890625,0.0002
109,58,223232,3827,0.0420446302741766,0.020784510299563408,300.0,0.3678573668003082,-25.970378875732422,232.25774386000003,0.08592858,0.09284203499555588,0.05748403072357178,0.2,108,0.3505859375,0.0002
110,58,225280,3830,0.0670431237667799,0.024748943746089935,300.0,0.36785638332366943,-25.970226287841797,232.25774386000003,0.20950316,0.14603017270565033,0.020236611366271973,0.2,109,0.412109375,0.0002
111,59,227328,3830,0.026720323134213686,0.022152239456772804,300.0,0.3678552508354187,-25.970046997070312,231.61395804,0.032159917,0.063590407371521,0.09880626201629639,0.2,110,0.263671875,0.0002
112,59,229376,3828,0.03868623357266188,0.023060644045472145,300.0,0.3678528070449829,-25.96974468231201,232.38044260000007,0.037179023,0.08887690305709839,-0.11642849445343018,0.2,111,0.2109375,0.0002
113,60,231424,3829,0.05435065133497119,0.01725596748292446,300.0,0.36784929037094116,-25.96923828125,232.45120118,0.07539676,0.1161714419722557,0.04777872562408447,0.2,112,0.3212890625,0.0002
114,60,233472,3831,0.019454628229141235,0.01779506914317608,300.0,0.36784523725509644,-25.968597412109375,232.54968979,0.01591317,0.0468376949429512,0.1175197958946228,0.2,113,0.16015625,0.0002
115,61,235520,3830,0.048194462433457375,0.01683920808136463,300.0,0.36784011125564575,-25.967829704284668,232.03397157000003,0.06493539,0.1037788838148117,-0.18125617504119873,0.2,114,0.2900390625,0.0002
