time/iterations,time/fps,time/time_elapsed,time/total_timesteps,train/loss,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/explained_variance,rollout/ep_rew_mean,train/clip_fraction,train/n_updates,rollout/ep_len_mean,train/learning_rate,train/value_loss,train/clip_range,train/std
26,1181,45,53248,-0.2683102488517761,-0.002267810679040849,-26.870222949981688,0.007915081,0.38643723726272583,223.26571663000001,0.0783203125,125,300.0,0.0002,0.007362247561104596,0.2,0.37335488200187683
27,1180,46,55296,-0.2798885107040405,-0.002466444857418537,-26.907132816314697,0.00892241,0.4302372336387634,224.95686877,0.05576171875,130,300.0,0.0002,0.006219347100704908,0.2,0.3736053705215454
28,1180,48,57344,-0.27101442217826843,-0.0025582017609849573,-26.94515962600708,0.009283604,0.5154685974121094,224.95686877,0.06201171875,135,300.0,0.0002,0.004956756066530943,0.2,0.37379756569862366
29,1180,50,59392,-0.27476775646209717,-0.0020282672718167304,-26.97755651473999,0.0045690713,0.5405980348587036,224.86610454999993,0.03486328125,140,300.0,0.0002,0.008993599913083017,0.2,0.37403538823127747
30,1179,52,61440,-0.26379814743995667,-0.0023739579133689403,-27.021489906311036,0.008948138,0.41576170921325684,224.07009024,0.09765625,145,300.0,0.0002,0.006894974876195193,0.2,0.3742855489253998
31,1179,53,63488,-0.27511703968048096,-0.0011738331522792578,-27.06212854385376,0.0076360274,0.5071085691452026,223.19811227000002,0.06513671875,150,300.0,0.0002,0.009615505952388049,0.2,0.3745432198047638
32,1179,55,65536,-0.2742687165737152,-0.0036463238531723617,-27.10397415161133,0.008851804,0.5731223225593567,224.39989764,0.06259765625,155,300.0,0.0002,0.008501683082431554,0.2,0.374785840511322
33,1179,57,67584,-0.27384987473487854,-0.0006298784632235765,-27.143584632873534,0.010526708,0.6015329957008362,225.86136979000003,0.09833984375,160,300.0,0.0002,0.006552185420878232,0.2,0.375016987323761
34,1179,59,69632,-0.2788592278957367,-0.005746736214496196,-27.17924098968506,0.006950106,0.5194529294967651,226.1867634,0.0720703125,165,300.0,0.0002,0.005727869109250605,0.2,0.37522679567337036
35,1180,60,71680,-0.27442029118537903,-0.0034903746796771883,-27.21275053024292,0.0035375857,0.47696608304977417,226.1867634,0.03525390625,170,300.0,0.0002,0.005045510130003095,0.2,0.3754231333732605
36,1180,62,73728,-0.27426677942276,-0.0032184360083192588,-27.24930534362793,0.0050906967,0.5049011707305908,226.34862221999995,0.0431640625,175,300.0,0.0002,0.006502515147440135,0.2,0.375695139169693
37,1181,64,75776,-0.2761263847351074,-0.0031866456381976606,-27.296789741516115,0.011571011,0.49878382682800293,225.63836902999995,0.081640625,180,300.0,0.0002,0.007696773391216993,0.2,0.3759611248970032
38,1180,65,77824,-0.2765975594520569,-0.0020637111039832233,-27.323893356323243,0.0024889158,0.5632338523864746,225.57323897999999,0.02705078125,185,300.0,0.0002,0.008752298448234797,0.2,0.37599900364875793
39,1179,67,79872,-0.269586980342865,-0.0021177937975153326,-27.328662586212157,0.0041972953,0.6292349696159363,225.95200078999997,0.0291015625,190,300.0,0.0002,0.012045837147161365,0.2,0.37609392404556274
40,1177,69,81920,-0.27618488669395447,-0.0021363100968301296,-27.352723598480225,0.004327099,0.5999003648757935,225.64162903,0.053125,195,300.0,0.0002,0.012027829699218274,0.2,0.37625399231910706
41,1176,71,83968,-0.28287002444267273,-0.00395824332954362,-27.37475128173828,0.0068451776,0.42179208993911743,225.64162903,0.06611328125,200,300.0,0.0002,0.006019918899983168,0.2,0.37636300921440125
42,1175,73,86016,-0.2771252691745758,-0.0028727313736453654,-27.396361827850342,0.0063944454,0.5575731992721558,225.56817497,0.03740234375,205,300.0,0.0002,0.007921371515840292,0.2,0.37653836607933044
43,1175,74,88064,-0.2786107659339905,-0.0029309468111023305,-27.432008457183837,0.004662132,0.5166728496551514,225.50937959000004,0.03828125,210,300.0,0.0002,0.009293517423793673,0.2,0.37679702043533325
44,1175,76,90112,-0.27321693301200867,-0.0033920985413715245,-27.47318391799927,0.0052384683,0.574153482913971,224.46782312,0.03955078125,215,300.0,0.0002,0.009905837941914797,0.2,0.3770194351673126
45,1174,78,92160,-0.2736915647983551,-0.0037434118101373317,-27.50874547958374,0.008761767,0.4599493741989136,223.73226933,0.07734375,220,300.0,0.0002,0.008320499444380403,0.2,0.3772523105144501
46,1173,80,94208,-0.2822924256324768,-0.003527397336438298,-27.54961061477661,0.008146897,0.5695534348487854,222.92058599,0.0498046875,225,300.0,0.0002,0.005989007814787328,0.2,0.3775314688682556
47,1172,82,96256,-0.2829614281654358,-0.0007835161988623441,-27.595785522460936,0.006411183,0.5750753879547119,222.22557992999998,0.04150390625,230,300.0,0.0002,0.006078475946560502,0.2,0.3777857720851898
48,1171,83,98304,-0.2788262963294983,-0.003289759764447808,-27.636647701263428,0.004065656,0.5169117450714111,222.22557992999998,0.028515625,235,300.0,0.0002,0.005387075780890882,0.2,0.37804463505744934
49,1168,85,100352,-0.2787613868713379,-0.0026019208831712603,-27.679665756225585,0.004067731,0.5169570446014404,221.52184247999998,0.01826171875,240,300.0,0.0002,0.008519908087328077,0.2,0.3782961964607239
50,1165,87,102400,-0.2853589653968811,-0.0024092801613733172,-27.716252040863036,0.0056462875,0.5078182816505432,221.35673672000001,0.08037109375,245,300.0,0.0002,0.006893198541365564,0.2,0.37847211956977844
51,1153,90,104448,-0.2774347960948944,-0.002750211860984564,-27.74261016845703,0.003519433,0.5698630809783936,222.17500355999996,0.0439453125,250,300.0,0.0002,0.009497515740804374,0.2,0.378635048866272
52,1149,92,106496,-0.28216856718063354,-0.0037994989193975925,-27.772861862182616,0.0040764017,0.6138737201690674,221.44145829,0.0759765625,255,300.0,0.0002,0.009452782571315765,0.2,0.3788585960865021
53,1148,94,108544,-0.28045016527175903,-0.0002765633165836334,-27.80899772644043,0.015346812,0.6097994446754456,223.67041565,0.11259765625,260,300.0,0.0002,0.008305844431743026,0.2,0.37904825806617737
54,1141,96,110592,-0.26479607820510864,-0.00020783720538020134,-27.836292552948,0.014103183,0.5942549109458923,223.62662641000009,0.09375,265,300.0,0.0002,0.008245768467895686,0.2,0.3792060911655426
55,1138,98,112640,-0.2808969020843506,-0.00545381560223177,-27.86752767562866,0.008304179,0.5515599846839905,223.62662641000009,0.07236328125,270,300.0,0.0002,0.0076262077782303095,0.2,0.3794483542442322
56,1133,101,114688,-0.2849605977535248,-0.005143384961411357,-27.903086948394776,0.0059322463,0.5730782747268677,224.02390771000006,0.049609375,275,300.0,0.0002,0.00907861152663827,0.2,0.37961119413375854
57,1132,103,116736,-0.28541162610054016,-0.00446439424995333,-27.934776020050048,0.0052949097,0.5951143503189087,223.71731463,0.03828125,280,300.0,0.0002,0.00926272114738822,0.2,0.37988734245300293
58,1132,104,118784,-0.2797508239746094,-0.0014645450748503209,-27.983746910095213,0.0046488177,0.5448532700538635,223.49693987000003,0.043359375,285,300.0,0.0002,0.007743462175130844,0.2,0.3801652789115906
59,1131,106,120832,-0.28172606229782104,-0.003098719217814505,-28.023861122131347,0.0032157633,0.5215755701065063,223.95789773,0.03974609375,290,300.0,0.0002,0.007466608239337802,0.2,0.3803948163986206
60,1129,108,122880,-0.27917757630348206,-0.0018457408994436264,-28.06742286682129,0.0062884497,0.6419467926025391,223.61686261000006,0.02685546875,295,300.0,0.0002,0.007676439615897835,0.2,0.38072240352630615
61,1127,110,124928,-0.28352415561676025,-0.0025555821717716753,-28.1168155670166,0.0039177495,0.6410934925079346,223.61315061000002,0.01533203125,300,300.0,0.0002,0.00769524306524545,0.2,0.38097164034843445
62,1126,112,126976,-0.28917941451072693,-0.002556368114892393,-28.14884443283081,0.006971893,0.5768705606460571,223.61315061000002,0.03447265625,305,300.0,0.0002,0.006148342299275101,0.2,0.38111916184425354
63,1125,114,129024,-0.28541508316993713,-0.003599994722753763,-28.17280168533325,0.0093162265,0.550874650478363,223.88033183,0.0873046875,310,300.0,0.0002,0.009776254277676344,0.2,0.3813096880912781
64,1124,116,131072,-0.293708860874176,-0.005151610448956489,-28.211786460876464,0.0054493872,0.492465615272522,224.75579319000005,0.03388671875,315,300.0,0.0002,0.006901391292922198,0.2,0.3815605342388153
65,1123,118,133120,-0.2846589684486389,-0.00332280540606007,-28.250588989257814,0.003251138,0.47804927825927734,224.12968257,0.04892578125,320,300.0,0.0002,0.007150436541996897,0.2,0.38178765773773193
66,1120,120,135168,-0.2877793312072754,-0.003066574316471815,-28.29209260940552,0.006415774,0.5456770658493042,224.18717914,0.0458984375,325,300.0,0.0002,0.008522563357837498,0.2,0.38209453225135803
67,1119,122,137216,-0.2794375717639923,-0.003110100096091628,-28.333409595489503,0.004583562,0.5956112146377563,223.96281877,0.02080078125,330,300.0,0.0002,0.006918573775328696,0.2,0.3822457194328308
68,1117,124,139264,-0.28921347856521606,-0.004220073169562966,-28.35071430206299,0.00445227,0.5420209169387817,225.34347697,0.02314453125,335,300.0,0.0002,0.005377013189718127,0.2,0.3823651373386383
69,1115,126,141312,-0.29274773597717285,-0.0033100265776738525,-28.374028491973878,0.0047550276,0.300945520401001,225.34347697,0.058984375,340,300.0,0.0002,0.004054017912130803,0.2,0.38251563906669617
70,1114,128,143360,-0.28184714913368225,-0.0023095997632481156,-28.403023529052735,0.0046907654,0.43879151344299316,224.79074577999995,0.0326171875,345,300.0,0.0002,0.004043139866553247,0.2,0.38273656368255615
71,1112,130,145408,-0.28858014941215515,-0.0042351423762738705,-28.44260702133179,0.004561119,0.6098729372024536,224.86956057999998,0.03193359375,350,300.0,0.0002,0.005993081047199667,0.2,0.38301485776901245
72,1110,132,147456,-0.2875540852546692,-0.0035319992806762458,-28.490847396850587,0.006394105,0.5954843759536743,225.60175495000004,0.03291015625,355,300.0,0.0002,0.0065307408105582,0.2,0.3833222985267639
73,1108,134,149504,-0.2872377038002014,-0.00400770609267056,-28.54309368133545,0.0047489526,0.5207496881484985,225.55300462000002,0.0236328125,360,300.0,0.0002,0.008103111293166876,0.2,0.38368186354637146
74,1105,137,151552,-0.2881612777709961,-0.0017351924441754818,-28.595895862579347,0.00940139,0.49722492694854736,226.16331611,0.05625,365,300.0,0.0002,0.005179538251832127,0.2,0.3839479982852936
75,1101,139,153600,-0.2909746766090393,-0.0018866376485675573,-28.639129829406738,0.0042648837,0.6062493324279785,225.84016466,0.04951171875,370,300.0,0.0002,0.004883944313041866,0.2,0.3842586874961853
76,1101,141,155648,-0.2939986288547516,-0.003928493498824537,-28.690741539001465,0.0040033255,0.5238298177719116,225.84016466,0.02958984375,375,300.0,0.0002,0.00788130860310048,0.2,0.3845522999763489
77,1101,143,157696,-0.2865617573261261,-0.0021464720834046603,-28.72736825942993,0.0040353737,0.5181940793991089,226.93986199999995,0.0263671875,380,300.0,0.0002,0.009856309369206428,0.2,0.38470375537872314
